id,times
587,2712501
588,43462
589,243010
590,1708555
591,1041174
592,77208
593,2201293
594,1541316
595,221164
596,163924
597,960224
598,93434
599,54564
600,176293
601,192274
602,1053497
603,1350720
604,1277362
605,328452
606,988499
607,143029
608,532217
609,1427142
610,741645
611,190731
612,469854
613,6320
614,209617
615,791726
616,39146
617,1631817
618,25863
619,818802
620,1130695
621,1469823
622,200550
623,120671
624,61916
625,552042
626,2638874
627,446197
628,468935
629,422047
630,138383
631,2493481
632,1876225
633,25195
634,1818864
635,746172
636,225406
637,351437
638,664864
639,1107696
640,1068950
641,1044649
642,19141
643,109446
644,1766306
645,449690
646,493715
647,1509853
648,180560
649,723113
650,692121
651,313310
652,361706
653,561270
654,2814536
655,381496
656,38074
657,1645891
658,261905
659,77737
660,187321
661,578493
662,739239
663,875736
664,915981
665,1311293
666,76662
667,342292
668,517920
669,1715143
670,1580303
671,522721
672,340912
673,139253
674,1032150
675,528984
676,474776
677,1133200
678,642314
679,35542
680,610814
681,1328629
682,1390
683,345743
684,225283
685,1292761
686,1565165
687,784240
688,226239
689,115694
690,678927
691,1263578
692,596913
693,229703
694,143273
695,280505
696,105273
697,2073090
698,3324945
699,353234
700,498000
701,223946
702,1040540
703,406006
704,303100
705,716532
706,449241
707,28802
708,994453
709,194522
710,1431544
711,115349
712,1928891
713,970471
714,987835
715,273161
716,1065660
717,798185
718,140366
719,717135
720,1658383
721,268141
722,676498
723,1427367
724,1162036
725,294561
726,308698
727,564959
728,1251162
729,606540
730,1048029
731,262790
732,1019888
733,946901
734,743045
735,145967
736,612213
737,279126
738,167750
739,738720
740,375374
741,1463880
742,393986
743,585531
744,1364647
745,12362
746,449635
747,30072
748,43641
749,359048
750,138078
751,831864
752,1228369
753,645786
754,872752
755,319931
756,369079
757,123992
758,995638
759,1153387
760,22593
761,138017
762,961261
763,408277
764,2559975
765,353191
766,497044
767,434571
768,229938
